Category,Information
Dealership Information,
Dealer Name,Karen Radley Volkswagen
Dealer Parent Company,Radley Auto Group
Street Address,14700 Richmond Hwy
City,Woodbridge
State,VA
Zip Code,22191
Contacts,
Contact First Name (Contact 1),Jose
Contact Last Name (Contact 1),Cabrera
Contact Email Address (Contact 1),josecabrera@radleyautogroup.com
Contact Phone Number (Contact 1),7035079814
General Manager,Yes
GM First Name,-
GM Email Address,-
GM Phone Number,-
Website Information,
Website Address,https://www.karenradleyvw.com/
URL of New Specials Page,https://www.karenradleyvw.com/search/new-special-volkswagen-woodbridge-va/?cy=22191&tp=new&tp=special
URL of Used Specials Page,https://www.karenradleyvw.com/search/special-used-woodbridge-va/?cy=22191&tp=special&tp=used
CRM Information,
CRM Provider,Elead
CRM Lead Address,sales@karenradleyacuravw.edealerhub.com
Vehicle Syndication and Images,
Vehicle Syndicator Provider,VAuto
Use vAuto Conquest,No
Use Another Syndicator for Vehicle Images,No
Pricing Information,
Pricing Field Name (New),3VV2B7AXXRM006309
Example VIN (New),27085
Pricing Field Name (Used),3VVRB7AX9RM009667
Example VIN (Used),26217
Include Tax in Payment,No
Include Registration Fees in Payment,No
Doc Fee,$895
Include Doc Fee in Payment,No
Lease and Finance Information,
Lease Lenders,VW Credit
Finance Lenders,VW Credit
Offers to Display,10% Down Lease
Minimum Discount Amount to Display,-
Default Mileage for Lease Specials,10000
Lease Special Markups,0.0004
Finance Special Markups,0
Show Programs with Lower Max Rate,Yes
Models to Exclude from Specials,Golf R
Finance Lenders,Unpublished
